key	count_all	count_nodes	count_ways	count_relations
building	670704004	974487	668599927	1129590
source	302692833	56524776	244583214	1584843
highway	287527376	30970369	256488583	68424
addr:housenumber	175776081	89362624	86172077	241380
addr:street	164858158	79518250	85093646	246262
addr:city	126939675	60392703	66290843	256129
name	111636511	30316426	77245304	4074781
addr:postcode	111161295	51275776	59648557	236962
natural	88118094	34160122	50453908	3504064
surface	75174473	370781	74698648	105044
addr:country	50752867	26747003	23877329	128535
landuse	49598173	113250	47121726	2363197
power	47221289	39084849	8094052	42388
waterway	38536564	293562	38108104	134898
building:levels	37712761	60241	37350804	301716
amenity	32244449	16672625	15386690	185134
barrier	31451629	10662155	20778620	10854
service	29345829	27963	29296516	21350
source:date	29167022	11942614	17088192	136216
addr:state	26275652	9520234	16717527	37891
access	25127553	3626148	21436424	64981
oneway	24695951	2141	24689027	4783
height	23562675	1791074	21613409	158192
ref	22030480	6222466	14452620	1355394
maxspeed	21230795	277114	20931140	22541
lanes	19021185	3734	19002544	14907
start_date	18161571	892955	17151783	116833
addr:district	16392252	14735947	1609768	46537
layer	15210480	115871	15061459	33150
operator	14466379	8235003	5374220	857156
type	14150704	64384	94943	13991377
lit	14102933	857588	13222125	23220
crossing	13515471	9182568	4332809	94
wall	12780612	2273	12771502	6837
source:addr	12638726	4391586	8242488	4652
footway	12624686	5733	12616583	2370
tiger:cfcc	12583218	39	12583144	35
tiger:county	12481605	205	12481360	40
ref:bag	11358868	4100	11347155	7613
addr:place	11323067	6833703	4466180	23184
leisure	11031518	1503568	9325355	202595
ele	10830121	2541640	8050415	238066
tiger:reviewed	10759313	268	10756940	2105
addr:suburb	10550461	4405105	6130264	15092
tracktype	10373965	4634	10369185	146
addr:neighbourhood	10322207	10009890	307468	4849
leaf_type	10167328	7108509	2881728	177091
addr:hamlet	10126877	10022272	102392	2213
addr:province	9838311	6423124	3402401	12786
addr:full	9599652	9179232	416753	3667
addr:TW:dataset	9228877	9228632	245	0
man_made	9203387	4554039	4621802	27546
place	9175323	7433664	1443941	297718
bicycle	8974566	1174347	7769750	30469
crossing:markings	8897173	5703962	3193201	10
roof:shape	8890948	14062	8812164	64722
foot	8271495	924774	7328163	18558
tiger:name_base	8220769	43	8220693	33
railway	8129439	4048768	4052722	27949
source:geometry:date	7726290	28373	7692062	5855
name:en	7155507	2655011	4170089	330407
tiger:name_type	7145430	34	7145371	25
bridge	7096523	2174	7092707	1642
intermittent	6968601	34137	6886476	47988
source:geometry	6885611	21044	6847534	17033
shop	6854318	5393986	1443542	16790
smoothness	6353794	13987	6337348	2459
public_transport	6213830	5221668	449173	542989
generator:source	5910795	1288652	4613644	8499
generator:method	5797897	1248534	4541024	8339
leaf_cycle	5711106	4138836	1493369	78901
generator:type	5704174	1155780	4540194	8200
tunnel	5609310	2608	5605787	915
generator:output:electricity	5530965	1056894	4465849	8222
ref:GB:uprn	5521645	47244	5473542	859
material	5513019	4679735	830037	3247
tactile_paving	5484708	4474675	1004740	5293
water	5174538	14004	4844789	315745
operator:wikidata	5107264	3371993	1614032	121239
entrance	4961244	4957334	3864	46
